Strain,I1,I2,I3,I4,I5,I6,I7,I8,YPD_1st_1,YPD_1st_2,YPD_1st_3,YPD_1st_4,YPD_1st_5,YPD_1st_6,YPD_1st_7,YPD_1st_8,Larvae_1st_1,Larvae_1st_2,Larvae_1st_3,Larvae_1st_4,Larvae_1st_5,Larvae_1st_6,Larvae_1st_7,Larvae_1st_8,YPD_5th_1,YPD_5th_2,YPD_5th_3,YPD_5th_4,YPD_5th_5,YPD_5th_6,YPD_5th_7,YPD_5th_8,Larvae_5th_1,Larvae_5th_2,Larvae_5th_3,Larvae_5th_4,Larvae_5th_5,Larvae_5th_6,Larvae_5th_7,Larvae_5th_8,YPD_10th_1,YPD_10th_2,YPD_10th_3,YPD_10th_4,YPD_10th_5,YPD_10th_6,YPD_10th_7,YPD_10th_8,Larvae_10th_1,Larvae_10th_2,Larvae_10th_3,Larvae_10th_4,Larvae_10th_5,Larvae_10th_6,Larvae_10th_7,Larvae_10th_8
273614N,83281,87700,65984,39844,64180,80887,91639,97914,79661,77311,93586,81540,103839,87681,81250,106679,24608,30407,25694,45776,33443,35841,48074,59078,438,715,325,1000,656,708,695,586,593,120,203,180,107,196,136,437,90,200,94,123,104,57,97,71,127,87,126,293,109,98,108,260
CLIB154 ,183409,211399,132906,115161,159501,170281,195547,212912,213275,344022,261979,208422,287867,230963,183476,269864,97978,140392,131087,124242,119405,129196,190549,220335,9414,11073,7381,10159,11400,9909,9169,10016,1411,256,592,564,310,526,342,1131,264,540,371,335,352,153,254,264,286,266,337,823,289,253,238,668
CLIB294,147632,159477,119357,66706,117696,140365,163864,167738,123095,162431,120171,117655,133281,95236,125802,130566,44977,54557,45387,112066,60399,54986,48725,68505,1188,1233,887,1961,1530,1389,1285,1230,1013,236,523,378,217,499,318,924,168,336,185,223,180,89,150,149,189,215,235,630,203,164,170,457
CLIB413 ,375778,375425,295447,137472,272214,355165,415674,437247,402842,598396,495507,366069,507643,440264,415229,525595,1394851,1788940,1329775,1908279,1723823,1521107,1700059,2778118,103967,139367,142885,101608,166344,168500,136602,121898,39060,55404,107297,56287,65112,136352,178310,156206,3351,7520,5163,2775,5028,1264,3942,4123,3592,2694,4629,6444,4977,5352,20790,4849
CLIB483 ,42506,49991,31088,18351,31060,38515,48466,45897,37191,55425,47005,37819,50370,41258,40892,46452,10436,12632,11866,24160,11798,14070,12065,19228,26958,36529,25895,29160,37817,37125,35276,36101,353,110,326,189,117,193,133,299,4240,6266,5399,4289,6929,1615,5444,5115,121,120,205,218,131,102,99,210
DBVPG1106,61358,64360,49017,28941,48056,59398,67485,66591,54756,82639,67251,53997,74064,61684,54936,66856,90246,104731,86536,109912,122902,98392,103200,119093,217,324,237,652,353,331,372,273,370,64,117,128,74,172,98,307,50,107,63,67,62,29,59,48,60,60,70,204,70,52,52,175
DBVPG1399 ,65924,73204,51225,32513,52203,62930,70692,74543,42519,60273,50200,40057,53880,46170,40971,55506,27062,35986,29242,37981,36821,38591,38833,44924,306,374,288,753,483,521,338,400,425,86,166,178,98,180,98,361,67,146,70,101,88,51,68,65,73,70,90,248,96,82,67,197
DBVPG1853,51137,52292,38515,22259,38739,45159,57310,58977,31560,46471,42562,30407,43201,36969,35154,48651,56985,73610,51537,47729,78745,63169,83721,78226,13622,14354,13305,15002,15635,11329,13688,15312,375,90,233,160,96,219,155,351,150,260,212,187,180,60,149,138,100,93,152,223,94,69,81,201
DBVPG3591 ,79447,73880,53207,33795,58450,73940,81830,92036,69134,101415,80585,68835,89797,74682,70226,86216,105427,134329,114498,99470,138138,142968,173594,142104,298,380,306,742,445,401,386,396,564,85,228,167,120,259,118,385,85,164,84,95,101,45,55,70,97,105,135,295,85,61,83,214
DBVPG4651,41973,43471,32605,18981,31004,37550,45700,48833,17931,26283,23491,17352,22831,19037,19802,25455,2860,5462,3615,11593,4441,5435,5572,8478,172,204,142,405,195,267,188,213,284,52,119,81,63,96,76,202,43,70,39,63,56,27,42,41,66,44,55,183,59,43,50,130
DBVPG6040,61481,62078,47801,26439,45009,57209,69625,72703,49059,72677,64671,50084,66939,57561,56302,72216,48231,60773,44325,31849,51372,53388,77390,75918,85158,116363,70517,95370,105206,96525,130452,99025,612,277,676,339,274,387,269,555,10714,11660,10048,7593,9851,1767,8048,7790,255,267,547,441,227,250,236,532
DBVPG6765,45539,45052,30875,20567,35700,41670,52620,50706,36133,56207,43577,37438,50405,38642,38186,45491,25491,28779,21226,17859,22341,22500,40630,34604,328,484,309,526,440,565,457,352,317,68,113,119,77,176,201,296,57,105,56,67,70,35,49,50,69,56,106,189,52,50,49,139
EM93,130519,127533,95802,57261,96617,120523,139955,155105,96298,137131,118270,94778,130742,104223,103484,129783,337222,429662,292471,219989,359073,344569,560770,507307,18139,19430,19021,21343,24082,15270,18187,20747,23450,24616,45182,48502,31902,173618,92008,54838,263,550,355,364,410,155,275,273,1329,907,1406,3606,1781,1726,6373,1839
I14 ,69894,70803,56506,31896,55601,68686,81827,83159,33666,51211,46439,36607,47043,40843,39154,51225,42219,45799,45335,94984,58662,38546,39958,59569,3250,2325,2489,2621,3339,2023,2257,2252,717,379,552,284,173,490,268,648,108,197,131,107,135,44,95,95,104,94,108,278,96,93,102,229
K12 ,85319,85052,58993,37596,65771,77354,95714,95899,96223,146915,104857,93693,128744,96673,96592,109244,20505,34123,23029,27987,28819,25837,54014,61470,11028,8221,9248,11071,16234,8179,8072,9124,549,121,285,251,129,232,150,519,535,581,564,808,835,215,446,995,173,120,182,333,120,109,124,310
L-1374,79847,77092,54124,35993,62225,74010,90647,91315,70918,103177,76530,67466,88549,69084,67708,76434,34058,43179,35129,31817,46357,36355,50801,43446,665,960,495,1147,884,946,948,749,573,159,298,234,152,279,192,475,131,272,123,189,174,74,122,122,164,146,159,335,151,142,127,284
L-1528,396620,399404,277259,200761,351553,412521,455079,480935,260168,378603,301280,269610,381062,294908,276066,355634,198901,300762,247334,182436,314689,329540,408949,319445,67592,95982,61302,83791,83851,91856,90330,85713,3108,678,1668,1299,743,1179,920,2461,5420,7843,7739,6757,9519,2439,5044,5061,792,665,988,1858,752,631,625,1519
M22 ,59087,55988,46177,25749,42451,54074,67069,65390,56472,87933,67565,52325,67376,59404,61074,77911,4729,5391,5642,19594,6074,5067,4485,8709,27869,25432,24438,23978,28162,23084,33403,28446,397,122,319,218,130,217,150,343,1008,1028,1276,1072,1653,347,1105,916,143,102,185,279,114,126,110,289
NCYC361,79834,76571,57040,33722,63916,73708,91070,90130,31879,50393,36938,29280,43040,32523,33649,40663,44940,46551,34068,28230,39302,36581,64676,56971,433,654,412,874,546,605,524,504,580,136,248,217,133,332,338,504,98,160,86,125,95,54,94,83,148,109,119,273,129,104,103,226
S288c,75628,79936,56475,32656,61069,71440,79480,84083,38089,59013,46500,37574,50052,42135,41423,49100,50051,73266,49257,49420,70907,64272,76334,78581,2703,3734,2534,3459,3927,3846,4760,3603,564,244,393,287,157,338,367,575,176,296,249,221,234,78,205,136,110,98,157,285,88,91,85,208
SSP81,109835,123524.5,90794,60200.25,74602,97003.5,109406,118431.5,92540.25,137744.75,108429.75,77382.25,111504.25,98931.25,81477,119308.75,695043.25,796455,589941,557422.25,814761.75,612460.75,807125,912488.5,500170,622022.5,497065.25,444573.25,738790.25,694897.5,818760.25,594632.5,3766548.5,3817475.75,6750257.25,3191078,2926063.25,3433303.5,3234044,3617132.75,135338.5,202939,144097.25,112807.75,161504.75,27786,146580.5,146368.75,3521047.75,3076001.5,3300277.75,3314679.5,3294109.5,2579346,3186821,2760172.25
T73 ,105549,101455,81826,48103,83904,102070,126867,123752,61592,90153,81940,63410,83447,70227,70321,83821,59159,67126,65091,95395,70218,69152,69186,78446,17141,31022,14854,22019,23109,27769,27930,27555,727,180,438,232,164,464,271,722,465,953,567,726,669,197,509,484,196,148,265,417,172,144,157,361
UWOPS03-461.4,228075,236892,179505,126339,194969,221317,238794,264157,246483,356317,298873,219381,351799,264816,247166,289273,7444,9722,7795,133399,13787,25347,22525,27057,133908,225711,109184,170716,146608,174664,167249,137761,14777,11254,36409,20012,19201,113193,102749,43345,15303,37575,17638,28653,34168,8089,21042,21864,1310,683,1534,1850,861,807,1180,1576
UWOPS05-217.3,137351,144994,102267,61352,103980,125452,139735,153325,89050,124910,111531,80996,122787,98637,92607,118343,2471,3251,2549,43136,4129,7914,6571,8595,52421,97590,44320,78308,67951,78695,76913,71065,6945,4496,16986,8584,8203,45366,37691,16513,4689,11703,5765,8498,9946,2787,6882,7447,614,332,748,822,395,452,512,702
UWOPS83-787.3,36860,33185,29428,16876,26892,33341,42488,40288,50343,71737,52424,43138,60139,48152,50586,76180,244,379,263,806,290,294,532,541,98023,85220,120523,133495,202337,174992,187136,131629,524,386,1079,468,372,602,463,648,54292,66559,78692,93053,81048,33722,64043,60920,488,363,811,537,372,337,324,650
UWOPS87-2421,139176,150338,110757,65357,101534,127322,145565,158625,113261,135295,136230,113273,146190,123696,116536,112865,13919,13898,12537,26337,17738,17912,17632,26842,938,1166,1026,2008,1658,1491,1273,1456,977,232,475,357,239,391,289,757,185,452,220,275,263,130,201,183,244,210,299,545,245,222,209,476
WE372 ,97852,95677,74215,43836,73668,90639,105138,108651,75186,114661,89497,77469,95998,79169,78349,96239,34170,58692,47390,42586,45205,50318,58948,66189,633,858,431,1301,797,1022,866,685,647,145,243,246,164,253,186,553,111,221,128,145,123,71,91,112,155,131,183,401,150,122,129,343
Y55,67384,65942,52239,29376,50498,62285,74626,75136,53346,80200,70126,53525,71560,59957,59564,71612,123712,191792,151899,113656,182406,199618,263480,264268,27248,35030,27231,23307,31683,26017,32873,29901,488,174,400,198,192,380,607,497,281,650,477,307,388,113,300,334,141,122,245,302,126,124,104,282
Y9J ,17334,16755,12262,8131,13069,16491,19134,19454,2675,4106,2896,2901,3020,3158,2412,3460,422,556,546,739,538,596,835,640,24,38,37,118,45,37,28,65,105,22,57,38,19,41,31,78,24,40,26,38,26,0,25,19,33,26,33,62,21,22,19,51
YIIc17_E5,41468,46415,33294,19632,33439,40133,45911,48742,35702,57894,47939,35621,49700,40258,39045,50141,45892,54916,49169,47667,56613,53552,53647,62769,1426,2496,1310,1632,1871,1944,2118,1520,334,162,385,171,124,540,307,379,46,113,55,64,67,32,58,38,72,57,68,166,59,55,56,130
YJM145 ,93747,96612,60374,42680,77282,95199,116783,115647,72878,107015,70102,72109,104668,81929,79945,93761,47509,75980,40868,38255,50215,52579,111012,67518,63799,35155,26702,35935,46774,27677,28188,36882,786,204,450,327,206,352,237,672,1322,1260,1227,792,1518,305,779,796,236,218,325,453,231,161,195,559
YJM269 ,45131,46330,37783,22044,33254,43689,49881,53757,33604,50180,44101,34162,44956,38890,35798,46626,1989,2178,3131,5532,3031,3355,3908,3722,460140,514591,453979,471030,609364,721755,716719,403086,2002,1804,5258,2187,1779,2872,2136,2415,488009,701644,537744,478585,452875,140894,537436,338652,2446,2028,3769,2206,1797,1712,1592,3071
YJM320 ,72387,73681,53365,34966,58061,74492,85561,87611,51855,79489,64471,55056,79829,64114,60437,79222,11322,18131,13797,11582,20457,19267,24660,16911,4058,7373,3569,5029,6248,5622,6366,5912,530,100,247,180,123,207,163,428,139,272,151,172,184,71,141,135,130,105,154,330,132,106,108,250
YJM326 ,89837,92595,71689,41297,67478,85903,95896,105312,40906,63607,54702,43978,56719,49572,45751,60795,79880,106480,80396,81156,130432,111298,135893,114062,788,1545,716,1498,1303,1589,1717,1145,610,140,254,229,122,246,184,486,98,219,124,149,148,58,92,97,136,115,157,366,129,120,133,292
YJM413 ,74776,78982,61249,34856,54661,68833,78056,85307,45298,65902,58163,42975,58001,50165,46910,60932,3602,2421,3513,10684,2372,2298,1505,4368,282,508,288,796,539,489,617,448,515,80,172,160,106,172,108,328,81,135,73,83,78,46,54,67,90,61,121,268,84,72,74,206
YJM421 ,41431,40708,31371,17551,27408,37510,44074,46769,20821,30471,28207,20017,30241,25147,23673,27545,3853,3660,4866,9761,3277,4549,2805,6790,30607,48275,30860,32107,38160,41363,50052,40078,307,131,331,160,132,223,139,259,7071,13525,10264,9191,13355,4026,15159,11762,143,141,238,257,114,127,95,223
YJM434 ,196127,187808,131755,98538,134269,175955,213429,208366,133135,184924,135576,135228,153219,148177,143601,156178,97003,116481,102600,157422,122370,108699,110479,140282,2545,4045,2225,3575,3186,3956,3853,3038,1666,545,1174,647,463,1428,927,1464,240,523,262,327,322,154,229,228,304,277,318,834,346,257,246,681
YJM436 ,27373,27473,22773,12916,20184,25350,29204,31100,27166,40248,40142,28097,41122,32612,29516,33906,1070,1092,1655,10047,1263,1104,928,1768,10631,15300,10708,11154,14230,16015,19305,12674,189,59,127,76,57,85,62,162,1276,2552,2104,1707,1970,593,3049,2311,69,41,87,136,45,46,36,113
YJM454 ,84803,81333,63711,38274,61635,80396,92319,98090,50549,77218,62949,49400,67522,56266,57053,68834,4982,3102,4553,15406,3016,2880,1901,5119,348,584,356,913,592,532,730,570,529,98,204,127,101,215,113,389,88,172,85,90,104,54,83,75,113,74,124,276,91,84,96,242
YJM975,54662,58268,40685,23041,41528,48504,63644,62458,32260,50719,41115,30144,44879,33438,35144,47263,50409,56514,47392,61519,55366,46732,47332,61080,58102,46088,41035,41188,56171,37882,55089,47295,762,385,1019,394,366,1260,898,842,2483,2254,2491,1401,2943,598,2317,1583,163,154,279,308,172,144,158,407
YJM978,65658,63403,50646,29314,52109,62015,76701,79137,64210,95994,82000,64937,86466,70243,69131,88106,47846,64818,54488,70360,59850,51295,53237,66469,126344,114140,126358,117909,155329,94125,139487,139174,735,470,936,468,394,983,749,801,10588,10118,14134,6419,14799,2320,8774,8476,325,313,634,502,289,257,279,732
YPS128,77766,77897,62824,37381,57940,74083,91055,92649,70689,95618,78481,64747,82210,74068,69704,99332,31254,27983,23174,78223,37588,25920,26953,50609,1184156,1135803,1033866,1210057,1690196,1680727,1635141,1185452,5041,4862,12626,5221,4559,7463,5668,6209,1411841,1850662,1426272,1360246,1215493,541463,1176916,1062511,6082,4991,8786,5407,4593,4371,4101,7203
YPS606,79707,72017.50,66152,36878.75,60829,81526.5,109735,98927.5,78963.75,83694.25,77964.25,73358.75,77815.75,73938.75,79445,70073.25,59901.75,932,23772,74283.75,40114.25,28104.25,9423,13121.5,1572834,1518088.5,1338874.75,1637454.75,2206183.75,2250762.5,2154405.75,1529267.5,0,0,0,0,0,0,0,0,1754277.5,2380976,1753535.75,1666042.25,1503284.25,635159,1516186.5,1263241.25,0,0,0,74581.5,0,433838,0,0
